diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,epoch_mjd,a,e,i,om,w,ma,full_name,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
253.051,,0.046,5.184,,0.710,0.251,,X,P,59800,3.479,0.0940,10.88,73.01,264.12,274.31,Sylvia,3.152,3.81,6.49,50156,0,4704,,,7.00
144.626,,0.342,8.334,,0.852,0.451,,S,S,59800,3.114,0.0152,7.26,72.30,203.09,303.60,Philomela,3.067,3.16,5.5,52320,0,4020,,,6.65
1.849,2.35 x 1.65 x 1.44,0.297,67.5,,67.5,,,,,59800,2.2,0.6625,3.04,82.24,168.90,275.70,Mithra,0.743,3.66,3.26,13017,0,938,8,9,15.68
52.8,,0.0436,417.7,0.00689,,,,Cb,,59800,2.648,0.2636,6.74,179.53,157.86,312.84,Mathilde,1.950,3.35,4.31,49946,0,5212,1,0,10.43
95.76,,0.2212,8.1655,,0.686,0.189,,Xk,M,59800,2.435,0.1636,3.06,80.85,250.23,295.19,Lutetia,2.036,2.83,3.8,57110,0,5548,,,7.53
0.33,0.535x0.294x0.209,,12.132,2.1e-9,,,,S(IV),,59800,1.324,0.2801,1.62,69.08,162.79,345.13,Itokawa,0.953,1.70,1.52,8588,0,951,19,18,19.26
525.4,572.6 x 557.2 x 446.4,0.4228,5.34212766,17.288245,0.782,0.492,,V,V,59800,2.362,0.0884,7.14,103.80,151.26,61.19,Vesta,2.153,2.57,3.63,25743,0,9451,2977,0,3.20
125.236,,0.064,24.476,,0.700,0.380,,Ch,C,59800,3.113,0.1028,6.12,134.09,332.73,251.12,Aemilia,2.793,3.43,5.49,43340,0,4047,,,8.38
151.711,,0.065,7.668,,0.724,0.390,,Cgh,C,59800,2.931,0.1660,18.24,79.70,306.66,308.45,Berbericia,2.444,3.42,5.02,39594,0,3134,,,7.78
202.327,,0.045,5.699,,0.676,0.274,,C,FC,59800,2.721,0.0835,6.61,147.59,87.59,302.60,Eugenia,2.494,2.95,4.49,56993,0,4275,,,7.68
4.667,,0.294,7.45073,,,,,,,59800,2.309,0.1471,6.33,153.13,10.98,193.14,Tempel,1.969,2.65,3.51,17353,0,2749,,,13.99
2.47,,0.10,6.712,,,,,,,59800,2.438,0.5330,14.59,253.49,103.53,124.10,ESA,1.139,3.74,3.81,11469,0,769,,,16.21
32,59.8x25.4x18.6,0.262,4.634,0.00275,0.802,0.416,,S,S,59800,2.862,0.0440,1.13,323.62,113.84,123.93,Ida,2.736,2.99,4.84,50237,0,4931,,,9.99
